Index,Rank,Previous Rank,Name,Country/Territory,Region,Size,Focus,Research,Status,AR SCORE,AR RANK,ER SCORE,ER RANK,FSR SCORE,FSR RANK,CPF SCORE,CPF RANK,IFR SCORE,IFR RANK,ISR SCORE,ISR RANK,ISD SCORE,ISD RANK,IRN SCORE,IRN RANK,EO SCORE,EO RANK,SUS SCORE,SUS RANK,Overall SCORE,staff,Column1,Column2,Column3,Total Students,International Students,Total Faculty Staff,Domestic Staff %,Int'l Staff %
747,741-750,751-760,Kaunas University of Technology,Lithuania,Europe,M,FO,VH,Public,15.1,701+,22.0,602,37.9,533,17.5,761,4.8,801+,40.0,489,45.4,458,68.6,556,29.0,570,58.9,521=,-,,,,,"7,303",,705,97%,3%
748,741-750,711-720,Plekhanov Russian University of Economics,Russian Federation,Europe,L,FO,VH,Public,15.5,701+,30.1,474,57.8,314,3.3,801+,4.1,801+,26.7,636,31.7,595,61.2,674,55.2,300,42.4,801+,-,,,,,"14,490",,"1,672",98%,2%
749,741-750,851-900,Shahid Beheshti University (SBU),Iran (Islamic Republic of),Asia,L,FO,VH,Public,11.8,701+,22.5,590,6.0,801+,49.4,377,5.2,801+,24.7,668,25.1,683,68.0,567,24.2,654,33.6,801+,-,,,,,"18,500",274,846,99%,1%
750,741-750,801-850,Syracuse University,United States of America,Americas,L,CO,VH,Private not for Profit,17.0,701+,18.3,699,16.1,801+,17.0,763,25.2,648,45.5,443,50.5,410,56.7,742,58.0,285,60.9,486=,-,,,,,"21,209","4,033","1,462",95%,5%
751,741-750,801-850,The Catholic University of Korea,Republic of Korea,Asia,M,FC,VH,Private not for Profit,7.9,701+,6.0,701+,97.4,61,31.0,576,4.7,801+,52.9,390,47.1,441,14.3,801+,1.9,801+,44.8,801+,-,,,,,"6,522",2. Welfare Facilities,"1,302",97%,3%
752,741-750,801-850,University of Baghdad,Iraq,Asia,XL,FC,VH,Public,18.1,675,41.2,330,31.1,614,2.5,801+,2.8,801+,1.2,801+,1.1,801+,69.0,545,85.6,134,43.4,801+,-,,,,,"77,080",135,"6,229",98%,2%
753,741-750,751-760,University of Malta,Malta,Europe,M,FC,VH,Public,9.3,701+,7.4,701+,47.7,408,10.1,801+,33.1,551,42.2,472,47.5,436,76.8,409,98.1,40,38.2,801+,-,,,,,"8,497",,826,89%,11%
755,741-750,771-780,University of Pecs,Hungary,Europe,L,FC,HI,Public,20.1,613,20.1,653,52.3,357,5.0,801+,12.8,801+,77.3,240,79.5,211,42.4,801+,12.8,801+,53.7,627=,-,,,,,"15,255","3,859","1,647",93%,7%
756,741-750,741-750,Victoria University,Australia,Oceania,L,CO,HI,Public,9.2,701+,10.1,701+,3.4,801+,48.7,381,23.6,667,74.6,256,77.1,225,48.9,801+,9.7,801+,59.3,514=,-,,,,,"14,776","2,822",497,84%,16%
757,741-750,741-750,Vytautas Magnus University,Lithuania,Europe,M,FO,VH,Public,14.0,701+,19.9,658,44.2,447,5.0,801+,46.8,455,70.8,270,73.5,244,62.8,653,26.8,611,47.0,789=,-,,,,,"8,013","1,694",865,82%,18%
758,751-760,671-680,Martin-Luther-Universität Halle-Wittenberg,Germany,Europe,L,FC,VH,Public,15.1,701+,9.9,701+,89.4,106,11.2,801+,,,17.0,781,12.9,801+,86.5,230,6.3,801+,47.1,785=,-,,,,,"19,879","1,681","2,942",%,%
759,751-760,801-850,Université de Lorraine,France,Europe,XL,FO,VH,Public,19.2,644,5.0,701+,8.6,801+,24.7,646,40.5,494,40.0,488,29.9,617,95.6,68,22.3,692,54.5,610=,-,,,,,"58,987","9,300","3,402",85%,15%
760,751-760,791-800,University of New Mexico,United States of America,Americas,L,FC,VH,Public,14.2,701+,16.9,701+,57.3,320,20.4,705,11.0,801+,7.1,801+,5.5,801+,83.6,283,11.4,801+,53.8,626,-,,,,,"17,365",825,"2,198",94%,6%
761,751-760,801-850,University of Oregon,United States of America,Americas,L,CO,VH,Public,23.2,543,22.5,592,14.7,801+,25.3,632,10.5,801+,5.4,801+,4.3,801+,53.8,785,36.9,470,55.7,582=,-,,,,,"22,007",962,"1,410",94%,6%
762,751-760,721-730,University of Trieste,Italy,Europe,L,FC,VH,Public,16.1,701+,7.8,701+,5.5,801+,53.8,345,11.6,801+,16.8,783,22.9,721,70.8,514,18.7,746,36.4,801+,-,,,,,"17,913","1,419",771,94%,6%
763,761-770,801-850,Al-Ahliyya Amman University,Jordan,Asia,M,FO,VH,Private not for Profit,17.1,701+,21.0,625,15.8,801+,6.4,801+,93.7,196,100.0,29,98.0,79,32.7,801+,6.0,801+,38.2,801+,-,,,,,"5,105",,326,71%,29%
764,761-770,781-790,Babes-Bolyai University,Romania,Europe,XL,CO,VH,Public,21.9,569,34.9,410,8.7,801+,8.0,801+,18.9,729,7.1,801+,12.6,801+,83.9,278,35.9,477,65.0,398=,-,,,,,"34,516","1,587","1,990",94%,6%
765,761-770,761-770,Bangladesh University of Engineering and Technology,Bangladesh,Asia,M,SP,VH,Public,21.3,582,42.5,316,15.6,801+,30.8,578,,,,,,,23.0,801+,29.9,551,30.0,801+,-,,,,,"7,012",7,488,100%,
766,761-770,711-720,Czech University of Life Sciences in Prague,Czechia,Europe,L,FO,VH,Public,11.6,701+,8.7,701+,13.7,801+,22.3,680,36.0,530,82.5,208,84.1,175,85.4,249,5.0,801+,72.5,281=,-,,,,,"15,669","4,472","1,003",85%,15%
767,761-770,,"Government College University, Faisalabad",Pakistan,Asia,L,CO,VH,Public,4.2,701+,7.1,701+,7.6,801+,72.2,197,1.3,801+,1.1,801+,5.5,801+,77.6,392,33.5,503,32.2,801+,-,,,,,"22,191",11,846,99%,1%
769,761-770,801-850,Khoja Akhmet Yassawi International Kazakh-Turkish University,Kazakhstan,Asia,M,FC,MD,Public,19.1,646,46.3,287,57.5,316,1.3,801+,27.8,612,45.5,442,40.0,503,4.1,801+,10.7,801+,30.1,801+,-,,,,,"10,156",,"1,097",94%,6%
770,761-770,791-800,New Jersey Institute of Technology (NJIT),United States of America,Americas,M,FO,VH,Public,7.5,701+,19.8,666,13.2,801+,40.6,462,36.0,529,65.4,306,68.7,281,37.7,801+,10.4,801+,54.2,619=,-,,,,,"10,543","2,230",658,89%,11%
771,761-770,721-730,Riga Technical University,Latvia,Europe,M,CO,VH,Public,12.6,701+,31.9,449,31.7,606,6.0,801+,22.1,686,84.9,195,86.3,165,38.2,801+,40.5,432,47.6,770=,-,,,,,"9,765","2,885",882,90%,10%
772,761-770,731-740,University of Belgrade,Serbia,Europe,XL,FC,VH,Public,23.6,536,14.0,701+,6.5,801+,10.1,801+,3.6,801+,7.4,801+,5.8,801+,94.5,91,98.4,36,52.1,661=,-,,,,,"97,225","4,610","4,674",98%,2%
773,761-770,801-850,University of Bucharest,Romania,Europe,XL,CO,VH,Public,21.1,590,35.9,400,9.0,801+,8.3,801+,3.5,801+,4.8,801+,10.0,801+,72.3,495,67.9,226,60.8,491=,-,,,,,"30,946",683,"1,815",98%,2%
774,761-770,,University of Nizwa,Oman,Asia,S,CO,VH,Private not for Profit,11.0,701+,12.8,701+,47.5,412,13.0,801+,100.0,32,26.2,642,27.0,653,26.1,801+,73.5,190,19.0,801+,-,,,,,"3,797",,399,32%,68%
775,761-770,851-900,"Vietnam National University, Hanoi",Viet Nam,Asia,XL,CO,HI,Public,24.3,525,33.0,435,9.2,801+,4.3,801+,6.6,801+,1.3,801+,1.3,801+,68.3,562,68.7,223,69.4,323=,-,,,,,"60,823",262,"3,344",95%,5%
776,771-780,771-780,Holy Spirit University of Kaslik,Lebanon,Asia,M,FO,HI,Private not for Profit,11.1,701+,20.7,637,70.4,226,3.8,801+,99.4,117,52.2,397,53.4,383,9.6,801+,7.3,801+,38.0,801+,-,,,,,"5,088",947,649,54%,46%
777,771-780,801-850,Philipps-Universität Marburg,Germany,Europe,L,FC,VH,Public,16.3,701+,15.1,701+,7.4,801+,39.6,475,19.0,727,31.9,568,23.9,705,65.9,612,8.9,801+,47.6,770=,-,,,,,"22,539","3,081","1,143",90%,10%
780,771-780,851-900,Thapar Institute of Engineering & Technology,India,Asia,M,FO,VH,Public,4.0,701+,9.3,701+,14.3,801+,71.2,206,17.1,763,4.7,801+,8.7,801+,33.7,801+,11.6,801+,58.5,534=,-,,,,,"9,932",181,659,96%,4%
782,771-780,751-760,University of Calcutta,India,Asia,L,CO,VH,Public,19.7,628,11.1,701+,7.7,801+,33.9,538,31.3,574,1.3,801+,5.7,801+,57.0,735,61.6,253,34.4,801+,-,,,,,"14,732",41,764,86%,14%
784,781-790,801-850,Alexandria University,Egypt,Africa,XL,FC,VH,Public,32.7,376,24.2,555,7.2,801+,3.5,801+,1.9,801+,13.6,801+,19.0,780,80.7,341,33.0,514,56.6,568=,-,,,,,"217,250","12,070","10,381",99%,1%
785,781-790,741-750,Carleton University,Canada,Americas,L,CO,VH,Public,15.6,701+,16.8,701+,7.3,801+,18.6,743,17.6,756,56.9,364,42.4,489,74.9,443,43.1,407,61.1,477=,-,,,,,"26,699","5,371","1,671",91%,9%
786,781-790,851-900,Georgia State University,United States of America,Americas,L,FO,VH,Public,14.8,701+,29.1,486,6.0,801+,33.2,547,6.6,801+,18.9,747,14.3,801+,64.6,627,29.0,572,47.3,780=,-,,,,,"28,775","2,695","1,339",97%,3%
787,781-790,,Hong Kong Metropolitan University,"Hong Kong SAR, China",Asia,L,FO,HI,,26.5,476,7.1,701+,4.2,801+,9.7,801+,90.3,222,92.9,147,81.9,189,11.2,801+,29.3,563,36.6,801+,-,,,,,"12,996",,300,44%,56%
788,781-790,801-850,Kuwait University,Kuwait,Asia,XL,FC,HI,Public,20.9,594,17.5,701+,9.4,801+,5.5,801+,24.1,662,32.0,567,37.8,519,55.1,769,97.1,56,58.3,539=,-,,,,,"29,950","3,957","1,787",88%,12%
791,781-790,791-800,Universidad de Antioquia,Colombia,Americas,XL,FO,VH,Public,39.7,304,24.1,557,5.9,801+,7.1,801+,4.9,801+,,,,,55.7,753,26.7,612,45.5,801+,-,,,,,"38,508",234,"1,762",97%,3%
792,781-790,771-780,Universidad del Rosario,Colombia,Americas,M,FC,HI,Private not for Profit,23.8,531,32.7,439,35.1,563,4.4,801+,9.8,801+,5.8,801+,4.6,801+,31.2,801+,48.5,357,58.2,543=,-,,,,,"10,126",328,"1,029",94%,6%
794,781-790,791-800,University of Kentucky,United States of America,Americas,L,FC,VH,Public,15.0,701+,15.0,701+,19.2,801+,32.1,561,18.2,739,5.7,801+,4.5,801+,77.3,401,24.4,651,59.6,509=,-,,,,,"28,929","1,151","2,163",91%,9%
795,781-790,781-790,University of Mons,Belgium,Europe,M,CO,VH,Public,7.0,701+,8.1,701+,5.2,801+,53.2,349,40.9,491,47.0,432,50.6,409,43.6,801+,7.3,801+,54.4,613=,-,,,,,"8,053","1,412",333,83%,17%
797,781-790,791-800,Wayne State University,United States of America,Americas,L,FC,VH,Public,9.0,701+,6.8,701+,70.3,228,18.0,752,17.9,747,10.5,801+,8.1,801+,69.8,536,34.1,499,66.9,363=,-,,,,,"18,421","While Wayne State provides students with a traditionalcollege experience of living in a residence hall, working out in the recreationand fitness center, studying in one of five libraries or joining any of morethan 400 student organizations, its urban location gives it its uniquecharacter and opens the door to exciting opportunities. Wayne State studentsare at the threshold of the nation’s best hospitals, international corporationsand law firms. They take part in performances in the second-largest theatredistrict in the United States and cheer on professional teams in every sport.","2,347",91%,9%
798,791-800,851-900,Applied Science Private University - Jordan,Jordan,Asia,M,CO,HI,Private for Profit,16.4,701+,27.8,497,30.0,631,7.4,801+,36.3,528,82.1,212,79.3,214,44.9,801+,5.9,801+,39.4,801+,-,,,,,"3,775",,354,82%,18%
799,791-800,801-850,Beijing University of Technology,China (Mainland),Asia,L,CO,VH,Public,9.0,701+,10.8,701+,41.9,481,55.4,325,5.3,801+,2.7,801+,7.5,801+,38.4,801+,7.6,801+,33.4,801+,-,,,,,"24,592",431,"2,558",96%,4%
800,791-800,771-780,Chiba University,Japan,Asia,L,FC,VH,Public,22.5,555,12.5,701+,65.8,261,17.8,755,11.3,801+,7.9,801+,12.1,801+,30.2,801+,6.2,801+,48.7,737=,-,,,,,"13,655",695,"1,796",94%,6%
801,791-800,721-730,Lanzhou University,China (Mainland),Asia,XL,CO,VH,Public,9.4,701+,5.3,701+,43.4,460,47.7,393,3.0,801+,2.2,801+,1.9,801+,69.6,540,11.1,801+,45.3,801+,-,,,,,"32,812",391,"2,944",98%,2%
803,791-800,801-850,Pontificia Universidad Católica de Valparaíso,Chile,Americas,L,CO,VH,Private not for Profit,36.4,332,29.0,487,6.8,801+,13.2,801+,15.1,801+,2.6,801+,2.2,801+,43.3,801+,12.2,801+,36.9,801+,-,,,,,"17,881",,874,92%,8%
804,791-800,801-850,Universiti Tunku Abdul Rahman (UTAR),Malaysia,Asia,M,FC,HI,Private not for Profit,19.4,636,43.9,304,19.2,801+,13.4,801+,15.8,784,8.0,801+,11.9,801+,51.7,801+,5.1,801+,57.7,548,-,,,,,"15,025",,"1,126",91%,9%
805,791-800,741-750,Wake Forest University,United States of America,Americas,M,FC,VH,Private not for Profit,7.4,701+,18.9,688,100.0,6,11.9,801+,6.2,801+,16.0,798,12.1,801+,38.8,801+,28.3,589,42.2,801+,-,,,,,"8,619",832,"2,669",97%,3%
806,801-850,851-900,AGH University of Krakow,Poland,Europe,L,CO,VH,Public,13.1,701+,30.6,465,54.7,344,12.7,801+,4.4,801+,7.3,801+,12.1,801+,75.6,430,4.0,801+,47.4,776=,-,,,,,"17,902",Campus,"2,093",98%,2%
807,801-850,711-720,Ahlia University,Bahrain,Asia,S,SP,HI,Private not for Profit,18.1,677,9.9,701+,38.4,528,10.3,801+,100.0,51,61.7,330,46.0,454,11.1,801+,12.1,801+,26.4,801+,-,,,,,"1,090",233,106,40%,60%
808,801-850,791-800,Alfaisal University,Saudi Arabia,Asia,S,FO,VH,Private not for Profit,7.9,701+,5.9,701+,31.7,605,21.8,687,100.0,29,96.7,102,92.4,127,28.1,801+,5.7,801+,31.0,801+,-,,,,,"3,784","1,276",322,26%,74%
809,801-850,1001-1200,Azerbaijan State University of Economics,Azerbaijan,Asia,L,FO,HI,Public,21.2,587,37.2,379,36.7,548,1.5,801+,32.0,563,10.7,801+,13.9,801+,11.7,801+,51.5,329,39.2,801+,-,,,,,"16,686",693,"1,885",88%,12%
810,801-850,771-780,Bournemouth University,United Kingdom,Europe,L,CO,VH,Public,8.0,701+,11.0,701+,8.1,801+,29.4,594,84.7,261,47.7,422,52.6,391,76.3,418,7.7,801+,43.4,801+,-,,,,,"15,227",,827,69%,31%
812,801-850,851-900,Donghua University,China (Mainland),Asia,L,CO,VH,Public,4.5,701+,4.4,701+,32.4,596,70.6,213,2.0,801+,4.2,801+,3.4,801+,32.1,801+,5.1,801+,28.5,801+,-,,,,,"23,025",869,"2,074",98%,2%
814,801-850,901-950,German Jordanian University,Jordan,Asia,S,FO,VH,Public,14.6,701+,28.7,490,34.6,569,12.7,801+,85.3,256,23.9,676,26.0,668,18.3,801+,11.3,801+,22.1,801+,-,,,,,"3,229",389,309,67%,33%
819,801-850,801-850,"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",Ukraine,Europe,L,CO,VH,Public,18.4,663,49.0,261,38.5,527,2.1,801+,1.3,801+,3.0,801+,7.3,801+,22.7,801+,48.8,355,37.2,801+,-,,,,,"23,715",520,"2,044",100%,
820,801-850,851-900,Northwest Agriculture and Forestry University,China (Mainland),Asia,XL,CO,VH,Public,5.2,701+,2.9,701+,35.0,565,61.5,278,,,2.0,801+,1.7,801+,70.6,516,5.1,801+,39.0,801+,-,,,,,"30,178",,"2,825",98%,2%
821,801-850,801-850,Ocean University of China,China (Mainland),Asia,XL,FC,VH,Public,6.3,701+,5.8,701+,9.6,801+,72.1,198,4.0,801+,2.6,801+,2.2,801+,49.8,801+,3.9,801+,41.5,801+,-,,,,,"27,968",523,"1,789",97%,3%
823,801-850,580,Politecnico di Bari,Italy,Europe,M,SP,VH,Public,9.8,701+,9.0,701+,13.1,801+,64.7,251,6.3,801+,13.1,801+,10.0,801+,47.6,801+,3.7,801+,27.4,801+,-,,,,,"2,004",149,251,96%,4%
824,801-850,781-790,Qassim University,Saudi Arabia,Asia,L,FC,VH,Public,15.5,701+,6.5,701+,47.0,421,3.8,801+,100.0,64,25.1,661,31.1,600,72.1,497,3.0,801+,52.2,658=,-,,,,,"35,951",,"3,780",56%,44%
825,801-850,641-650,Soochow University,China (Mainland),Asia,XL,CO,VH,Public,9.2,701+,8.2,701+,25.8,721,57.3,305,3.4,801+,2.4,801+,7.2,801+,51.1,801+,24.0,657,35.6,801+,-,,,,,"47,146","1,403","3,618",95%,5%
832,801-850,781-790,Universidade Federal de Santa Catarina,Brazil,Americas,L,FC,VH,Public,26.1,485,8.3,701+,25.2,731,15.8,786,5.9,801+,4.0,801+,8.7,801+,64.4,631,23.7,659,65.2,393=,-,,,,,"30,308",726,"2,480",96%,4%
837,801-850,801-850,Universität Duisburg-Essen,Germany,Europe,XL,FC,VH,Public,16.1,701+,8.1,701+,21.9,794,15.3,799,33.0,555,52.7,391,57.2,357,90.5,168,16.9,788,44.9,801+,-,,,,,"41,414","7,880","3,512",83%,17%
838,801-850,1001-1200,Universiti Malaysia Terengganu (UMT),Malaysia,Asia,M,CO,VH,Public,16.7,701+,8.2,701+,18.6,801+,28.9,596,23.6,668,30.3,588,31.7,592,58.9,709,5.0,801+,58.2,543=,-,,,,,"9,037","1,037",662,92%,8%
839,801-850,801-850,University of Bari,Italy,Europe,XL,FO,VH,Public,16.8,701+,5.3,701+,7.4,801+,43.1,437,6.9,801+,4.0,801+,9.1,801+,80.7,338,12.2,801+,56.3,573=,-,,,,,"29,760",654,"1,586",96%,4%
841,801-850,751-760,University of Engineering & Technology (UET) Lahore,Pakistan,Asia,L,SP,VH,Public,11.1,701+,49.1,260,20.4,801+,15.1,801+,,,2.3,801+,6.5,801+,56.5,746,54.1,310,40.7,801+,-,,,,,"12,503",215,"1,014",100%,
842,801-850,691-700,University of Greenwich,United Kingdom,Europe,L,CO,HI,Public,6.2,701+,7.0,701+,5.2,801+,15.2,801+,94.0,193,99.6,54,99.6,43,75.8,421,19.7,731,44.9,801+,-,,,,,"21,336","10,983",975,63%,37%
843,801-850,801-850,University of Hyderabad,India,Asia,M,FC,VH,Public,17.7,692,4.6,701+,20.7,801+,54.5,335,,,2.6,801+,6.9,801+,34.0,801+,3.4,801+,42.1,801+,-,,,,,"5,322",114,396,99%,1%
844,801-850,781-790,University of Latvia,Latvia,Europe,M,FC,VH,Public,14.5,701+,22.8,581,10.0,801+,10.4,801+,16.1,775,10.0,801+,15.8,801+,66.6,595,92.0,89,56.0,579=,-,,,,,"12,055",707,821,91%,9%
845,801-850,851-900,University of Lincoln,United Kingdom,Europe,L,CO,VH,Public,8.0,701+,9.3,701+,13.0,801+,14.6,801+,84.8,259,73.7,260,75.2,234,73.7,478,6.0,801+,63.8,427=,-,,,,,"18,195",,"1,094",71%,29%
846,801-850,,"University of Maryland, Baltimore",United States of America,Americas,M,FC,VH,Public,7.6,701+,2.3,701+,100.0,3,22.5,678,22.1,687,10.2,801+,7.9,801+,45.7,801+,2.3,801+,41.3,801+,-,,,,,,,,,
847,801-850,771-780,"University of Maryland, Baltimore County",United States of America,Americas,L,FC,HI,Public,13.6,701+,8.2,701+,18.9,801+,20.0,710,72.9,325,50.8,406,55.5,371,45.4,801+,10.3,801+,66.0,381=,-,,,,,"12,187","2,104",899,73%,27%
848,801-850,721-730,University of Modena and Reggio Emilia,Italy,Europe,L,FC,VH,Public,12.3,701+,7.6,701+,4.6,801+,56.7,310,4.8,801+,7.5,801+,13.1,801+,55.1,767,20.3,719,54.4,613=,-,,,,,"22,769","UNIMORE is located in the heart of one of Europe's wealthiest and most dynamic regions, which is world-renowned for its production of mechanical parts, engines, sports cars (e.g. Ferrari and Maserati) as well as for its agro-food sector, ceramic tiles and manufacturing industries. The University benefits from a longstanding relationship with the area's firms and corporations, which provide private support for university research and a unique opportunity for job-oriented training programs before graduation.",874,97%,3%
849,801-850,,University of Namur,Belgium,Europe,M,FO,VH,,6.4,701+,8.8,701+,5.8,801+,44.4,421,37.2,521,59.3,345,62.7,316,47.5,801+,10.3,801+,53.4,632=,-,,,,,,,,,
850,801-850,801-850,University of Ulsan,Republic of Korea,Asia,L,FC,VH,Private not for Profit,6.0,701+,3.8,701+,60.2,300,50.1,374,2.7,801+,3.6,801+,7.9,801+,29.1,801+,6.4,801+,44.2,801+,-,,,,,"11,901",326,"1,492",99%,1%
852,801-850,851-900,University of Wroclaw,Poland,Europe,L,CO,VH,Public,20.6,599,22.0,603,45.0,436,6.9,801+,7.2,801+,15.6,801+,21.7,736,63.2,648,18.5,749,45.3,801+,-,,,,,"17,856","1,471","1,931",96%,4%
854,801-850,781-790,Zurich University of Applied Sciences (ZHAW),Switzerland,Europe,M,CO,VH,,7.2,701+,12.5,701+,81.1,164,5.0,801+,73.9,319,25.1,659,31.2,597,43.1,801+,7.4,801+,55.1,602=,-,,,,,"10,946","1,156","1,548",74%,26%
855,851-900,771-780,Addis Ababa University,Ethiopia,Africa,XL,FO,VH,,7.8,701+,12.1,701+,65.3,267,2.5,801+,,,,,,,63.8,636,96.9,62,41.7,801+,-,,,,,"48,673",,"6,043",%,%
856,851-900,741-750,Altai State University,Russian Federation,Europe,M,CO,VH,Public,12.9,701+,7.0,701+,90.7,101,1.9,801+,8.6,801+,71.3,266,68.1,283,18.3,801+,2.0,801+,46.2,801+,-,,,,,"9,042",,"1,486",95%,5%
857,851-900,951-1000,Auburn University,United States of America,Americas,XL,CO,VH,Public,11.6,701+,17.6,701+,10.7,801+,24.3,650,58.1,397,10.1,801+,16.0,801+,57.2,728,29.6,553,50.1,701=,-,,,,,"29,417","1,940","1,743",74%,26%
858,851-900,901-950,Australian Catholic University,Australia,Oceania,L,CO,HI,Public,12.0,701+,11.8,701+,8.0,801+,19.4,724,86.4,251,61.7,329,65.4,301,35.6,801+,1.7,801+,49.3,725=,-,,,,,"22,947","4,504","1,175",73%,27%
859,851-900,1001-1200,Azerbaijan State Oil and Industry University,Azerbaijan,Asia,L,FO,HI,Public,13.1,701+,19.0,685,73.3,208,1.5,801+,46.8,456,9.7,801+,13.9,801+,8.5,801+,45.0,391,31.0,801+,-,,,,,"14,920",464,"1,431",87%,13%
860,851-900,,Azerbaijan Technical University,Azerbaijan,Asia,M,SP,MD,,19.1,645,25.5,532,82.2,157,1.4,801+,13.9,801+,13.4,801+,16.5,801+,4.2,801+,11.6,801+,27.9,801+,-,,,,,,,,,
861,851-900,901-950,Beijing Jiaotong University,China (Mainland),Asia,L,FO,VH,Public,12.3,701+,16.8,701+,31.4,609,34.4,529,4.9,801+,17.0,780,12.9,801+,46.1,801+,13.5,801+,30.8,801+,-,,,,,"27,932","There are 15 post-doc research stations, 20 level-1 disciplines offering doctoral degree programs, 34 level-1 disciplines offering master’s degree programs, 13 professional degree programs such as MBA, EMBA, M.Eng, M.Acc, M.Law, etc.","2,111",96%,4%
864,851-900,901-950,Catania University,Italy,Europe,L,FC,VH,Public,17.5,701+,6.2,701+,8.7,801+,35.9,517,15.4,798,8.2,801+,12.6,801+,74.4,456,9.4,801+,46.3,801+,-,,,,,"26,241",,"1,522",97%,3%
865,851-900,771-780,China University of Geosciences,China (Mainland),Asia,L,FO,VH,Public,6.6,701+,5.6,701+,60.4,299,40.1,469,1.8,801+,4.5,801+,3.6,801+,60.0,693,1.3,801+,43.3,801+,-,,,,,"26,798",867,"3,191",99%,1%
866,851-900,851-900,Chungnam National University,Republic of Korea,Asia,L,FC,VH,Public,11.7,701+,10.6,701+,54.7,343,21.0,697,8.4,801+,20.0,729,25.1,681,40.8,801+,6.7,801+,59.9,504=,-,,,,,"18,520","1,613","2,074",94%,6%
867,851-900,,Dhofar University,Oman,Asia,S,FO,VH,Private not for Profit,10.0,701+,9.5,701+,12.1,801+,19.6,719,100.0,21,11.1,801+,13.8,801+,35.1,801+,70.3,208,18.7,801+,-,,,,,"3,256",189,176,11%,89%
868,851-900,801-850,Edinburgh Napier University,United Kingdom,Europe,L,CO,HI,Public,7.9,701+,5.5,701+,6.1,801+,21.9,686,89.5,227,84.7,196,86.1,167,59.4,702,8.6,801+,40.1,801+,-,,,,,"14,737","4,760",666,70%,30%
869,851-900,721-730,Effat University,Saudi Arabia,Asia,S,FO,VH,Private not for Profit,4.9,701+,5.4,701+,25.3,728,22.7,674,100.0,20,98.9,73,91.3,138,18.8,801+,3.4,801+,26.1,801+,-,,,,,"1,091",,95,15%,85%
873,851-900,801-850,Instituto Politécnico Nacional (IPN),Mexico,Americas,XL,FO,VH,Public,26.6,474,33.9,423,17.0,801+,3.1,801+,6.7,801+,2.1,801+,6.6,801+,47.4,801+,12.7,801+,56.3,573=,-,,,,,"139,234",,"8,818",98%,2%
874,851-900,1001-1200,Jiangnan University,China (Mainland),Asia,L,FC,VH,Public,5.8,701+,4.7,701+,15.6,801+,65.0,248,,,,,,,58.3,716,1.2,801+,30.0,801+,-,,,,,"28,776",353,"3,009",99%,1%
876,851-900,901-950,Louisiana State University,United States of America,Americas,XL,CO,VH,Public,14.1,701+,12.9,701+,9.6,801+,23.8,659,22.4,682,6.9,801+,12.5,801+,63.4,644,36.8,471,75.4,228=,-,,,,,"33,166","1,511","2,100",93%,7%
878,851-900,851-900,Mendel University in Brno,Czechia,Europe,M,FO,VH,Public,9.8,701+,8.3,701+,68.8,239,8.3,801+,14.3,801+,38.8,507,41.5,495,74.1,461,4.8,801+,49.4,719=,-,,,,,"8,397",The University comprises one University Institute and five faculties and one institute:,"1,200",92%,8%
879,851-900,1001-1200,Multimedia University (MMU),Malaysia,Asia,M,FO,VH,Private for Profit,18.9,651,27.0,508,17.3,801+,9.2,801+,53.6,422,56.8,365,60.8,334,26.9,801+,5.1,801+,39.1,801+,-,,,,,"9,223","1,532",621,81%,19%
882,851-900,851-900,Oklahoma State University,United States of America,Americas,L,FC,HI,Public,10.6,701+,12.8,701+,12.2,801+,21.3,694,65.0,358,12.0,801+,17.9,799,71.4,509,30.6,543,50.5,695,-,,,,,"22,496",,"1,426",77%,23%
883,851-900,951-1000,Prince of Songkla University,Thailand,Asia,XL,FC,HI,Public,32.4,380,13.5,701+,20.4,801+,6.9,801+,7.4,801+,2.7,801+,7.2,801+,55.4,764,5.6,801+,60.9,486=,-,,,,,"33,318",625,"2,587",96%,4%
884,851-900,851-900,Tokyo University of Agriculture and Technology,Japan,Asia,M,FO,VH,Public,15.6,701+,11.2,701+,18.7,801+,40.3,464,11.6,801+,11.3,801+,15.3,801+,42.4,801+,1.7,801+,33.2,801+,-,,,,,"5,815",430,416,95%,5%
887,851-900,901-950,Universidade de Vigo,Spain,Europe,L,CO,VH,Public,14.0,701+,9.1,701+,15.4,801+,32.5,555,4.5,801+,11.4,801+,8.7,801+,81.5,323,5.1,801+,72.7,279,-,,,,,"20,064",,"1,289",98%,2%
890,851-900,801-850,Universität Rostock,Germany,Europe,L,FC,HI,Public,9.6,701+,5.0,701+,92.6,90,9.5,801+,,,21.2,705,16.0,801+,77.3,398,6.6,801+,39.5,801+,-,,,,,"13,624","1,464","2,484",%,%
891,851-900,711-720,Université de Franche-Comté,France,Europe,S,CO,VH,Public,7.6,701+,3.6,701+,100.0,8,18.7,740,,,,,,,77.4,395,3.8,801+,32.0,801+,-,,,,,"2,894",,"1,200",%,%
892,851-900,851-900,Université du Québec,Canada,Americas,XL,FC,HI,Public,20.5,600,14.9,701+,2.5,801+,16.8,767,40.3,497,19.0,744,14.4,801+,65.4,616,31.4,531,51.6,669=,-,,,,,"72,528","6,959","1,953",84%,16%
